TimeStamp,Name,Time Stamp,Hub Wind Speed,Hub Turbulence,Shear Exponent,Profile Rotor Wind Speed,Profile Hub Wind Speed,Hub to Rotor Ratio,Hub to Rotor Deviation,Input Hub Wind Speed,Wind Speed Bin,Turbulence Bin,Base Power,Hub Power,Rotor Equivalent Wind Speed,REWS Power,Turbulence Power,Combined Power
10/7/11 22:40,Dataset 1,10/7/11 22:40,9.33,0.114684,0.251477868,9.118124972,9.069009621,1.005415735,0.005415735,9.33,9,0.11,1381.73,1381.73,9.380528805,1400.78,1378.704605,1396.846784
10/7/11 22:50,Dataset 1,10/7/11 22:50,10.07,0.114201,0.255365747,9.584437833,9.502306406,1.008643315,0.008643315,10.07,10,0.11,1655.69,1655.69,10.15703818,1679.72,1638.931319,1661.510698
10/7/11 23:00,Dataset 1,10/7/11 23:00,9.77,0.11566,0.215070835,9.44524426,9.44495072,1.000031079,3.11E-05,9.77,10,0.11,1549.37,1549.37,9.770303642,1549.37,1537.027506,1537.021529
10/7/11 23:10,Dataset 1,10/7/11 23:10,9.46,0.117336,0.262725326,9.031912607,9.121974088,0.990126975,-0.009873025,9.46,9,0.11,1431.26,1431.26,9.366601181,1396.97,1424.718962,1392.470963
10/7/11 23:20,Dataset 1,10/7/11 23:20,9.13,0.108434,0.217034401,8.822596503,8.771943798,1.005774399,0.005774399,9.13,9,0.11,1305.53,1305.53,9.182720264,1324.58,1305.860284,1324.456832
10/7/11 23:30,Dataset 1,10/7/11 23:30,8.8,0.1,0.192235257,8.298463219,8.166644048,1.016141168,0.016141168,8.8,9,0.11,1182.6,1182.6,8.942042276,1233.98,1182.6,1233.98
10/7/11 23:40,Dataset 1,10/7/11 23:40,8.11,0.115906,0.294329199,7.995342495,7.98663484,1.001090278,0.001090278,8.11,8,0.11,929.37,929.37,8.118842158,933.04,937.3175394,940.9847324
10/7/11 23:50,Dataset 1,10/7/11 23:50,7.83,0.111111,0.201858645,7.535707103,7.487748299,1.00640497,0.00640497,7.83,8,0.11,837.83,837.83,7.880150916,852.88,843.1438638,858.2494623
10/8/11 0:00,Dataset 1,10/8/11 0:00,8.51,0.141011,0.322737731,8.547914084,8.40190898,1.017377611,0.017377611,8.51,9,0.15,1076.17,1076.17,8.657883467,1131.22,1092.784015,1144.696004
10/8/11 0:10,Dataset 1,10/8/11 0:10,9.17,0.134133,0.269597576,9.223740333,9.207881483,1.001722313,0.001722313,9.17,9,0.13,1320.77,1320.77,9.185793606,1328.39,1317.855737,1324.890266
10/8/11 0:20,Dataset 1,10/8/11 0:20,9.94,0.110664,0.219423351,9.886865133,9.886450934,1.000041896,4.19E-05,9.94,10,0.11,1614.14,1614.14,9.940416442,1614.14,1603.378085,1603.372872
10/8/11 0:30,Dataset 1,10/8/11 0:30,8.72,0.113532,0.230283022,8.623229342,8.660791669,0.995662945,-0.004337055,8.72,9,0.11,1153.24,1153.24,8.682180883,1138.56,1157.896144,1143.487801
10/8/11 0:40,Dataset 1,10/8/11 0:40,7.62,0.098425,0.23705999,7.6653221,7.609552063,1.007328951,0.007328951,7.62,8,0.09,774.62,774.62,7.675846609,792.68,773.9482448,791.9949363
10/8/11 0:50,Dataset 1,10/8/11 0:50,8.15,0.105521,0.276257425,8.031135615,7.984832539,1.005798879,0.005798879,8.15,8,0.11,944.05,944.05,8.197260862,962.4,946.7519415,965.0986024
10/8/11 1:00,Dataset 1,10/8/11 1:00,8.11,0.090012,0.250913624,7.919072614,7.878097605,1.00520113,0.00520113,8.11,8,0.09,929.37,929.37,8.152181163,944.05,924.7080359,939.3650504
10/8/11 1:10,Dataset 1,10/8/11 1:10,8.83,0.078143,0.284450902,8.765206431,8.750797142,1.001646626,0.001646626,8.83,9,0.07,1193.61,1193.61,8.844539706,1197.28,1186.169829,1190.004362
10/8/11 1:20,Dataset 1,10/8/11 1:20,8.45,0.123077,0.28744183,8.426123852,8.377824157,1.005765184,0.005765184,8.45,8,0.13,1054.15,1054.15,8.498715802,1072.5,1064.499057,1082.473773
10/8/11 1:30,Dataset 1,10/8/11 1:30,8.36,0.105263,0.326668171,7.949941505,7.947398522,1.000319977,0.000319977,8.36,8,0.11,1021.12,1021.12,8.362675005,1021.12,1023.617413,1023.614401
10/8/11 1:40,Dataset 1,10/8/11 1:40,8.74,0.080092,0.26005436,8.411966721,8.362981637,1.005857371,0.005857371,8.74,9,0.09,1160.58,1160.58,8.79119342,1178.93,1153.027707,1171.822219
10/8/11 1:50,Dataset 1,10/8/11 1:50,8.25,0.084848,0.30773169,8.201198142,8.109280039,1.011334928,0.011334928,8.25,8,0.09,980.75,980.75,8.343513154,1013.78,973.7160753,1006.764608
10/8/11 2:00,Dataset 1,10/8/11 2:00,7.9,0.105063,0.266053502,7.750942088,7.702881401,1.006239313,0.006239313,7.9,8,0.11,858.9,858.9,7.949290571,873.95,861.3059305,876.3791804
